,node_number,drone_number,capacity_of_drones,arc_weight,result,type
0,9,1,180,5,-1.0,Not Cover
1,9,1,180,10,-1.0,Not Cover
2,9,1,180,15,-1.0,Not Cover
3,9,1,180,20,-1.0,Not Cover
4,9,1,180,25,-1.0,Not Cover
5,9,1,180,30,-1.0,Not Cover
6,9,1,240,5,-1.0,Not Cover
7,9,1,240,10,-1.0,Not Cover
8,9,1,240,15,-1.0,Not Cover
9,9,1,240,20,-1.0,Not Cover
10,9,1,240,25,-1.0,Not Cover
11,9,1,240,30,-1.0,Not Cover
12,9,1,300,5,-1.0,Not Cover
13,9,1,300,10,-1.0,Not Cover
14,9,1,300,15,-1.0,Not Cover
15,9,1,300,20,-1.0,Not Cover
16,9,1,300,25,-1.0,Not Cover
17,9,1,300,30,-1.0,Not Cover
18,9,1,360,5,-1.0,Not Cover
19,9,1,360,10,-1.0,Not Cover
20,9,1,360,15,-1.0,Not Cover
21,9,1,360,20,-1.0,Not Cover
22,9,1,360,25,-1.0,Not Cover
23,9,1,360,30,-1.0,Not Cover
24,9,1,420,5,-1.0,Not Cover
25,9,1,420,10,-1.0,Not Cover
26,9,1,420,15,-1.0,Not Cover
27,9,1,420,20,-1.0,Not Cover
28,9,1,420,25,-1.0,Not Cover
29,9,1,420,30,-1.0,Not Cover
30,9,1,480,5,-1.0,Not Cover
31,9,1,480,10,-1.0,Not Cover
32,9,1,480,15,-1.0,Not Cover
33,9,1,480,20,-1.0,Not Cover
34,9,1,480,25,-1.0,Not Cover
35,9,1,480,30,-1.0,Not Cover
36,9,1,540,5,-1.0,Not Cover
37,9,1,540,10,-1.0,Not Cover
38,9,1,540,15,-1.0,Not Cover
39,9,1,540,20,-1.0,Not Cover
40,9,1,540,25,-1.0,Not Cover
41,9,1,540,30,-1.0,Not Cover
42,9,1,600,5,-1.0,Not Cover
43,9,1,600,10,-1.0,Not Cover
44,9,1,600,15,-1.0,Not Cover
45,9,1,600,20,-1.0,Not Cover
46,9,1,600,25,-1.0,Not Cover
47,9,1,600,30,-1.0,Not Cover
48,9,2,180,5,-1.0,Not Cover
49,9,2,180,10,-1.0,Not Cover
50,9,2,180,15,-1.0,Not Cover
51,9,2,180,20,-1.0,Not Cover
52,9,2,180,25,-1.0,Not Cover
53,9,2,180,30,-1.0,Not Cover
54,9,2,240,5,-1.0,Not Cover
55,9,2,240,10,-1.0,Not Cover
56,9,2,240,15,-1.0,Not Cover
57,9,2,240,20,-1.0,Not Cover
58,9,2,240,25,-1.0,Not Cover
59,9,2,240,30,-1.0,Not Cover
60,9,2,300,5,-1.0,Not Cover
61,9,2,300,10,-1.0,Not Cover
62,9,2,300,15,-1.0,Not Cover
63,9,2,300,20,-1.0,Not Cover
64,9,2,300,25,-1.0,Not Cover
65,9,2,300,30,-1.0,Not Cover
66,9,2,360,5,-1.0,Not Cover
67,9,2,360,10,-1.0,Not Cover
68,9,2,360,15,-1.0,Not Cover
69,9,2,360,20,-1.0,Not Cover
70,9,2,360,25,-1.0,Not Cover
71,9,2,360,30,-1.0,Not Cover
72,9,2,420,5,-1.0,Not Cover
73,9,2,420,10,-1.0,Not Cover
74,9,2,420,15,-1.0,Not Cover
75,9,2,420,20,-1.0,Not Cover
76,9,2,420,25,-1.0,Not Cover
77,9,2,420,30,-1.0,Not Cover
78,9,2,480,5,-1.0,Not Cover
79,9,2,480,10,-1.0,Not Cover
80,9,2,480,15,-1.0,Not Cover
81,9,2,480,20,-1.0,Not Cover
82,9,2,480,25,-1.0,Not Cover
83,9,2,480,30,-1.0,Not Cover
84,9,2,540,5,61.0,Optimal
85,9,2,540,10,108.0,Optimal
86,9,2,540,15,-1.0,Not Cover
87,9,2,540,20,216.0,Optimal
88,9,2,540,25,-1.0,Not Cover
89,9,2,540,30,-1.0,Not Cover
90,9,2,600,5,54.0,Optimal
91,9,2,600,10,114.0,Optimal
92,9,2,600,15,-1.0,Not Cover
93,9,2,600,20,-1.0,Not Cover
94,9,2,600,25,270.0,Optimal
95,9,2,600,30,-1.0,Not Cover
96,9,3,180,5,-1.0,Not Cover
97,9,3,180,10,-1.0,Not Cover
98,9,3,180,15,-1.0,Not Cover
99,9,3,180,20,-1.0,Not Cover
100,9,3,180,25,-1.0,Not Cover
101,9,3,180,30,-1.0,Not Cover
102,9,3,240,5,-1.0,Not Cover
103,9,3,240,10,-1.0,Not Cover
104,9,3,240,15,-1.0,Not Cover
105,9,3,240,20,-1.0,Not Cover
106,9,3,240,25,-1.0,Not Cover
107,9,3,240,30,-1.0,Not Cover
108,9,3,300,5,74.0,Optimal
109,9,3,300,10,-1.0,Not Cover
110,9,3,300,15,-1.0,Not Cover
111,9,3,300,20,-1.0,Not Cover
112,9,3,300,25,-1.0,Not Cover
113,9,3,300,30,-1.0,Not Cover
114,9,3,360,5,64.0,Optimal
115,9,3,360,10,-1.0,Not Cover
116,9,3,360,15,201.0,Optimal
117,9,3,360,20,-1.0,Not Cover
118,9,3,360,25,-1.0,Not Cover
119,9,3,360,30,-1.0,Not Cover
120,9,3,420,5,64.0,Optimal
121,9,3,420,10,128.0,Optimal
122,9,3,420,15,-1.0,Not Cover
123,9,3,420,20,256.0,Optimal
124,9,3,420,25,-1.0,Not Cover
125,9,3,420,30,-1.0,Not Cover
126,9,3,480,5,64.0,Optimal
127,9,3,480,10,128.0,Optimal
128,9,3,480,15,192.0,Optimal
129,9,3,480,20,256.0,Optimal
130,9,3,480,25,320.0,Optimal
131,9,3,480,30,-1.0,Not Cover
132,9,3,540,5,64.0,Optimal
133,9,3,540,10,128.0,Optimal
134,9,3,540,15,192.0,Optimal
135,9,3,540,20,256.0,Optimal
136,9,3,540,25,320.0,Optimal
137,9,3,540,30,384.0,Optimal
138,9,3,600,5,64.0,Optimal
139,9,3,600,10,128.0,Optimal
140,9,3,600,15,192.0,Optimal
141,9,3,600,20,256.0,Optimal
142,9,3,600,25,320.0,Optimal
143,9,3,600,30,384.0,Optimal
144,9,4,180,5,-1.0,Not Cover
145,9,4,180,10,-1.0,Not Cover
146,9,4,180,15,-1.0,Not Cover
147,9,4,180,20,-1.0,Not Cover
148,9,4,180,25,-1.0,Not Cover
149,9,4,180,30,-1.0,Not Cover
150,9,4,240,5,-1.0,Infeasible
151,9,4,240,10,-1.0,Not Cover
152,9,4,240,15,-1.0,Not Cover
153,9,4,240,20,-1.0,Not Cover
154,9,4,240,25,-1.0,Not Cover
155,9,4,240,30,-1.0,Not Cover
156,9,4,300,5,84.0,Optimal
157,9,4,300,10,160.0,Optimal
158,9,4,300,15,-1.0,Not Cover
159,9,4,300,20,-1.0,Not Cover
160,9,4,300,25,-1.0,Not Cover
161,9,4,300,30,-1.0,Not Cover
162,9,4,360,5,74.0,Optimal
163,9,4,360,10,148.0,Optimal
164,9,4,360,15,241.0,Optimal
165,9,4,360,20,362.0,Optimal
166,9,4,360,25,-1.0,Not Cover
167,9,4,360,30,-1.0,Not Cover
168,9,4,420,5,74.0,Optimal
169,9,4,420,10,168.0,Optimal
170,9,4,420,15,222.0,Optimal
171,9,4,420,20,296.0,Optimal
172,9,4,420,25,370.0,Optimal
173,9,4,420,30,444.0,Optimal
174,9,4,480,5,74.0,Optimal
175,9,4,480,10,148.0,Optimal
176,9,4,480,15,222.0,Optimal
177,9,4,480,20,296.0,Optimal
178,9,4,480,25,370.0,Optimal
179,9,4,480,30,444.0,Optimal
180,9,4,540,5,74.0,Optimal
181,9,4,540,10,148.0,Optimal
182,9,4,540,15,222.0,Optimal
183,9,4,540,20,296.0,Optimal
184,9,4,540,25,370.0,Optimal
185,9,4,540,30,444.0,Optimal
186,9,4,600,5,74.0,Optimal
187,9,4,600,10,148.0,Optimal
188,9,4,600,15,222.0,Optimal
189,9,4,600,20,296.0,Optimal
190,9,4,600,25,370.0,Optimal
191,9,4,600,30,444.0,Optimal
192,9,5,180,5,-1.0,Not Cover
193,9,5,180,10,-1.0,Not Cover
194,9,5,180,15,-1.0,Not Cover
195,9,5,180,20,-1.0,Not Cover
196,9,5,180,25,-1.0,Not Cover
197,9,5,180,30,-1.0,Not Cover
198,9,5,240,5,107.0,Optimal
199,9,5,240,10,200.0,Optimal
200,9,5,240,15,-1.0,Not Cover
201,9,5,240,20,-1.0,Not Cover
202,9,5,240,25,-1.0,Not Cover
203,9,5,240,30,-1.0,Not Cover
204,9,5,300,5,90.0,Optimal
205,9,5,300,10,226.0,Optimal
206,9,5,300,15,-1.0,Not Cover
207,9,5,300,20,403.0,Optimal
208,9,5,300,25,-1.0,Not Cover
209,9,5,300,30,-1.0,Not Cover
210,9,5,360,5,90.0,Optimal
211,9,5,360,10,180.0,Optimal
212,9,5,360,15,283.0,Optimal
213,9,5,360,20,378.0,Optimal
214,9,5,360,25,451.0,Optimal
215,9,5,360,30,541.0,Optimal
216,9,5,420,5,90.0,Optimal
217,9,5,420,10,188.0,Optimal
218,9,5,420,15,302.0,Optimal
219,9,5,420,20,361.0,Optimal
220,9,5,420,25,451.0,Optimal
221,9,5,420,30,603.0,Optimal
222,9,5,480,5,90.0,Optimal
223,9,5,480,10,180.0,Optimal
224,9,5,480,15,271.0,Optimal
225,9,5,480,20,361.0,Optimal
226,9,5,480,25,451.0,Optimal
227,9,5,480,30,566.0,Optimal
228,9,5,540,5,90.0,Optimal
229,9,5,540,10,180.0,Optimal
230,9,5,540,15,271.0,Optimal
231,9,5,540,20,361.0,Optimal
232,9,5,540,25,451.0,Optimal
233,9,5,540,30,541.0,Optimal
234,9,5,600,5,90.0,Optimal
235,9,5,600,10,180.0,Optimal
236,9,5,600,15,271.0,Optimal
237,9,5,600,20,361.0,Optimal
238,9,5,600,25,451.0,Optimal
239,9,5,600,30,541.0,Optimal
240,9,6,180,5,-1.0,Not Cover
241,9,6,180,10,-1.0,Not Cover
242,9,6,180,15,-1.0,Not Cover
243,9,6,180,20,-1.0,Not Cover
244,9,6,180,25,-1.0,Not Cover
245,9,6,180,30,-1.0,Not Cover
246,9,6,240,5,114.0,Optimal
247,9,6,240,10,220.0,Optimal
248,9,6,240,15,-1.0,Not Cover
249,9,6,240,20,-1.0,Not Cover
250,9,6,240,25,-1.0,Not Cover
251,9,6,240,30,-1.0,Not Cover
252,9,6,300,5,106.0,Optimal
253,9,6,300,10,228.0,Optimal
254,9,6,300,15,320.0,Optimal
255,9,6,300,20,443.0,Optimal
256,9,6,300,25,-1.0,Not Cover
257,9,6,300,30,-1.0,Not Cover
258,9,6,360,5,106.0,Optimal
259,9,6,360,10,212.0,Optimal
260,9,6,360,15,320.0,Optimal
261,9,6,360,20,443.0,Optimal
262,9,6,360,25,532.0,Optimal
263,9,6,360,30,700.0,Optimal
