,node_number,drone_number,capacity_of_drones,arc_weight,result,type
0,25,1,180,5,-1,Not Cover
1,25,1,180,10,-1,Not Cover
2,25,1,180,15,-1,Not Cover
3,25,1,180,20,-1,Not Cover
4,25,1,180,25,-1,Not Cover
5,25,1,180,30,-1,Not Cover
6,25,1,240,5,-1,Not Cover
7,25,1,240,10,-1,Not Cover
8,25,1,240,15,-1,Not Cover
9,25,1,240,20,-1,Not Cover
10,25,1,240,25,-1,Not Cover
11,25,1,240,30,-1,Not Cover
12,25,1,300,5,-1,Not Cover
13,25,1,300,10,-1,Not Cover
14,25,1,300,15,-1,Not Cover
15,25,1,300,20,-1,Not Cover
16,25,1,300,25,-1,Not Cover
17,25,1,300,30,-1,Not Cover
18,25,1,360,5,-1,Not Cover
19,25,1,360,10,-1,Not Cover
20,25,1,360,15,-1,Not Cover
21,25,1,360,20,-1,Not Cover
22,25,1,360,25,-1,Not Cover
23,25,1,360,30,-1,Not Cover
24,25,1,420,5,-1,Not Cover
25,25,1,420,10,-1,Not Cover
26,25,1,420,15,-1,Not Cover
27,25,1,420,20,-1,Not Cover
28,25,1,420,25,-1,Not Cover
29,25,1,420,30,-1,Not Cover
30,25,1,480,5,-1,Not Cover
31,25,1,480,10,-1,Not Cover
32,25,1,480,15,-1,Not Cover
33,25,1,480,20,-1,Not Cover
34,25,1,480,25,-1,Not Cover
35,25,1,480,30,-1,Not Cover
36,25,1,540,5,-1,Not Cover
37,25,1,540,10,-1,Not Cover
38,25,1,540,15,-1,Not Cover
39,25,1,540,20,-1,Not Cover
40,25,1,540,25,-1,Not Cover
41,25,1,540,30,-1,Not Cover
42,25,1,600,5,-1,Not Cover
43,25,1,600,10,-1,Not Cover
44,25,1,600,15,-1,Not Cover
45,25,1,600,20,-1,Not Cover
46,25,1,600,25,-1,Not Cover
47,25,1,600,30,-1,Not Cover
48,25,2,180,5,-1,Not Cover
49,25,2,180,10,-1,Not Cover
50,25,2,180,15,-1,Not Cover
51,25,2,180,20,-1,Not Cover
52,25,2,180,25,-1,Not Cover
53,25,2,180,30,-1,Not Cover
54,25,2,240,5,-1,Not Cover
55,25,2,240,10,-1,Not Cover
56,25,2,240,15,-1,Not Cover
57,25,2,240,20,-1,Not Cover
58,25,2,240,25,-1,Not Cover
59,25,2,240,30,-1,Not Cover
60,25,2,300,5,-1,Not Cover
61,25,2,300,10,-1,Not Cover
62,25,2,300,15,-1,Not Cover
63,25,2,300,20,-1,Not Cover
64,25,2,300,25,-1,Not Cover
65,25,2,300,30,-1,Not Cover
66,25,2,360,5,-1,Not Cover
67,25,2,360,10,-1,Not Cover
68,25,2,360,15,-1,Not Cover
69,25,2,360,20,-1,Not Cover
70,25,2,360,25,-1,Not Cover
71,25,2,360,30,-1,Not Cover
72,25,2,420,5,-1,Not Cover
73,25,2,420,10,-1,Not Cover
74,25,2,420,15,-1,Not Cover
75,25,2,420,20,-1,Not Cover
76,25,2,420,25,-1,Not Cover
77,25,2,420,30,-1,Not Cover
78,25,2,480,5,-1,Not Cover
79,25,2,480,10,-1,Not Cover
80,25,2,480,15,-1,Not Cover
81,25,2,480,20,-1,Not Cover
82,25,2,480,25,-1,Not Cover
83,25,2,480,30,-1,Not Cover
84,25,2,540,5,-1,Not Cover
85,25,2,540,10,-1,Not Cover
86,25,2,540,15,-1,Not Cover
87,25,2,540,20,-1,Not Cover
88,25,2,540,25,-1,Not Cover
89,25,2,540,30,-1,Not Cover
90,25,2,600,5,-1,Not Cover
91,25,2,600,10,-1,Not Cover
92,25,2,600,15,-1,Not Cover
