,node_number,drone_number,capacity_of_drones,arc_weight,result,type
0,100,1,180,5,-1,Not Cover
1,100,1,180,10,-1,Not Cover
2,100,1,180,15,-1,Not Cover
3,100,1,180,20,-1,Not Cover
4,100,1,180,25,-1,Not Cover
5,100,1,180,30,-1,Not Cover
6,100,1,240,5,-1,Not Cover
7,100,1,240,10,-1,Not Cover
8,100,1,240,15,-1,Not Cover
9,100,1,240,20,-1,Not Cover
10,100,1,240,25,-1,Not Cover
11,100,1,240,30,-1,Not Cover
12,100,1,300,5,-1,Not Cover
13,100,1,300,10,-1,Not Cover
14,100,1,300,15,-1,Not Cover
15,100,1,300,20,-1,Not Cover
16,100,1,300,25,-1,Not Cover
17,100,1,300,30,-1,Not Cover
18,100,1,360,5,-1,Not Cover
19,100,1,360,10,-1,Not Cover
20,100,1,360,15,-1,Not Cover
21,100,1,360,20,-1,Not Cover
22,100,1,360,25,-1,Not Cover
23,100,1,360,30,-1,Not Cover
24,100,1,420,5,-1,Not Cover
25,100,1,420,10,-1,Not Cover
26,100,1,420,15,-1,Not Cover
27,100,1,420,20,-1,Not Cover
28,100,1,420,25,-1,Not Cover
29,100,1,420,30,-1,Not Cover
30,100,1,480,5,-1,Not Cover
31,100,1,480,10,-1,Not Cover
32,100,1,480,15,-1,Not Cover
33,100,1,480,20,-1,Not Cover
34,100,1,480,25,-1,Not Cover
35,100,1,480,30,-1,Not Cover
36,100,1,540,5,-1,Not Cover
37,100,1,540,10,-1,Not Cover
38,100,1,540,15,-1,Not Cover
39,100,1,540,20,-1,Not Cover
40,100,1,540,25,-1,Not Cover
41,100,1,540,30,-1,Not Cover
42,100,1,600,5,-1,Not Cover
43,100,1,600,10,-1,Not Cover
44,100,1,600,15,-1,Not Cover
45,100,1,600,20,-1,Not Cover
46,100,1,600,25,-1,Not Cover
47,100,1,600,30,-1,Not Cover
48,100,2,180,5,-1,Not Cover
49,100,2,180,10,-1,Not Cover
50,100,2,180,15,-1,Not Cover
51,100,2,180,20,-1,Not Cover
52,100,2,180,25,-1,Not Cover
53,100,2,180,30,-1,Not Cover
54,100,2,240,5,-1,Not Cover
55,100,2,240,10,-1,Not Cover
56,100,2,240,15,-1,Not Cover
57,100,2,240,20,-1,Not Cover
58,100,2,240,25,-1,Not Cover
59,100,2,240,30,-1,Not Cover
60,100,2,300,5,-1,Not Cover
61,100,2,300,10,-1,Not Cover
62,100,2,300,15,-1,Not Cover
63,100,2,300,20,-1,Not Cover
64,100,2,300,25,-1,Not Cover
65,100,2,300,30,-1,Not Cover
66,100,2,360,5,-1,Not Cover
67,100,2,360,10,-1,Not Cover
68,100,2,360,15,-1,Not Cover
69,100,2,360,20,-1,Not Cover
70,100,2,360,25,-1,Not Cover
71,100,2,360,30,-1,Not Cover
72,100,2,420,5,-1,Not Cover
73,100,2,420,10,-1,Not Cover
74,100,2,420,15,-1,Not Cover
75,100,2,420,20,-1,Not Cover
76,100,2,420,25,-1,Not Cover
77,100,2,420,30,-1,Not Cover
78,100,2,480,5,-1,Not Cover
79,100,2,480,10,-1,Not Cover
80,100,2,480,15,-1,Not Cover
81,100,2,480,20,-1,Not Cover
82,100,2,480,25,-1,Not Cover
83,100,2,480,30,-1,Not Cover
84,100,2,540,5,-1,Not Cover
85,100,2,540,10,-1,Not Cover
86,100,2,540,15,-1,Not Cover
87,100,2,540,20,-1,Not Cover
88,100,2,540,25,-1,Not Cover
89,100,2,540,30,-1,Not Cover
90,100,2,600,5,-1,Not Cover
91,100,2,600,10,-1,Not Cover
92,100,2,600,15,-1,Not Cover
93,100,2,600,20,-1,Not Cover
94,100,2,600,25,-1,Not Cover
95,100,2,600,30,-1,Not Cover
96,100,3,180,5,-1,Not Cover
97,100,3,180,10,-1,Not Cover
98,100,3,180,15,-1,Not Cover
99,100,3,180,20,-1,Not Cover
100,100,3,180,25,-1,Not Cover
101,100,3,180,30,-1,Not Cover
102,100,3,240,5,-1,Not Cover
103,100,3,240,10,-1,Not Cover
104,100,3,240,15,-1,Not Cover
105,100,3,240,20,-1,Not Cover
106,100,3,240,25,-1,Not Cover
107,100,3,240,30,-1,Not Cover
108,100,3,300,5,-1,Not Cover
109,100,3,300,10,-1,Not Cover
110,100,3,300,15,-1,Not Cover
111,100,3,300,20,-1,Not Cover
112,100,3,300,25,-1,Not Cover
113,100,3,300,30,-1,Not Cover
114,100,3,360,5,-1,Not Cover
115,100,3,360,10,-1,Not Cover
116,100,3,360,15,-1,Not Cover
117,100,3,360,20,-1,Not Cover
118,100,3,360,25,-1,Not Cover
119,100,3,360,30,-1,Not Cover
120,100,3,420,5,-1,Not Cover
121,100,3,420,10,-1,Not Cover
122,100,3,420,15,-1,Not Cover
123,100,3,420,20,-1,Not Cover
124,100,3,420,25,-1,Not Cover
125,100,3,420,30,-1,Not Cover
126,100,3,480,5,-1,Not Cover
127,100,3,480,10,-1,Not Cover
128,100,3,480,15,-1,Not Cover
129,100,3,480,20,-1,Not Cover
130,100,3,480,25,-1,Not Cover
131,100,3,480,30,-1,Not Cover
132,100,3,540,5,-1,Not Cover
133,100,3,540,10,-1,Not Cover
134,100,3,540,15,-1,Not Cover
135,100,3,540,20,-1,Not Cover
136,100,3,540,25,-1,Not Cover
137,100,3,540,30,-1,Not Cover
138,100,3,600,5,-1,Not Cover
139,100,3,600,10,-1,Not Cover
140,100,3,600,15,-1,Not Cover
141,100,3,600,20,-1,Not Cover
142,100,3,600,25,-1,Not Cover
143,100,3,600,30,-1,Not Cover
144,100,4,180,5,-1,Not Cover
145,100,4,180,10,-1,Not Cover
146,100,4,180,15,-1,Not Cover
147,100,4,180,20,-1,Not Cover
148,100,4,180,25,-1,Not Cover
149,100,4,180,30,-1,Not Cover
150,100,4,240,5,-1,Not Cover
151,100,4,240,10,-1,Not Cover
152,100,4,240,15,-1,Not Cover
153,100,4,240,20,-1,Not Cover
154,100,4,240,25,-1,Not Cover
155,100,4,240,30,-1,Not Cover
156,100,4,300,5,-1,Not Cover
157,100,4,300,10,-1,Not Cover
158,100,4,300,15,-1,Not Cover
159,100,4,300,20,-1,Not Cover
160,100,4,300,25,-1,Not Cover
161,100,4,300,30,-1,Not Cover
162,100,4,360,5,-1,Not Cover
163,100,4,360,10,-1,Not Cover
164,100,4,360,15,-1,Not Cover
165,100,4,360,20,-1,Not Cover
166,100,4,360,25,-1,Not Cover
167,100,4,360,30,-1,Not Cover
168,100,4,420,5,-1,Not Cover
169,100,4,420,10,-1,Not Cover
170,100,4,420,15,-1,Not Cover
171,100,4,420,20,-1,Not Cover
172,100,4,420,25,-1,Not Cover
173,100,4,420,30,-1,Not Cover
174,100,4,480,5,-1,Not Cover
175,100,4,480,10,-1,Not Cover
176,100,4,480,15,-1,Not Cover
177,100,4,480,20,-1,Not Cover
178,100,4,480,25,-1,Not Cover
179,100,4,480,30,-1,Not Cover
180,100,4,540,5,-1,Not Cover
181,100,4,540,10,-1,Not Cover
182,100,4,540,15,-1,Not Cover
183,100,4,540,20,-1,Not Cover
184,100,4,540,25,-1,Not Cover
185,100,4,540,30,-1,Not Cover
186,100,4,600,5,-1,Not Cover
187,100,4,600,10,-1,Not Cover
188,100,4,600,15,-1,Not Cover
189,100,4,600,20,-1,Not Cover
190,100,4,600,25,-1,Not Cover
191,100,4,600,30,-1,Not Cover
192,100,5,180,5,-1,Not Cover
193,100,5,180,10,-1,Not Cover
194,100,5,180,15,-1,Not Cover
195,100,5,180,20,-1,Not Cover
196,100,5,180,25,-1,Not Cover
197,100,5,180,30,-1,Not Cover
198,100,5,240,5,-1,Not Cover
199,100,5,240,10,-1,Not Cover
200,100,5,240,15,-1,Not Cover
201,100,5,240,20,-1,Not Cover
202,100,5,240,25,-1,Not Cover
203,100,5,240,30,-1,Not Cover
204,100,5,300,5,-1,Not Cover
205,100,5,300,10,-1,Not Cover
206,100,5,300,15,-1,Not Cover
207,100,5,300,20,-1,Not Cover
208,100,5,300,25,-1,Not Cover
209,100,5,300,30,-1,Not Cover
210,100,5,360,5,-1,Not Cover
211,100,5,360,10,-1,Not Cover
212,100,5,360,15,-1,Not Cover
213,100,5,360,20,-1,Not Cover
214,100,5,360,25,-1,Not Cover
215,100,5,360,30,-1,Not Cover
216,100,5,420,5,-1,Not Cover
217,100,5,420,10,-1,Not Cover
218,100,5,420,15,-1,Not Cover
219,100,5,420,20,-1,Not Cover
220,100,5,420,25,-1,Not Cover
221,100,5,420,30,-1,Not Cover
222,100,5,480,5,-1,Not Cover
223,100,5,480,10,-1,Not Cover
224,100,5,480,15,-1,Not Cover
225,100,5,480,20,-1,Not Cover
226,100,5,480,25,-1,Not Cover
227,100,5,480,30,-1,Not Cover
228,100,5,540,5,-1,Not Cover
229,100,5,540,10,-1,Not Cover
230,100,5,540,15,-1,Not Cover
