,node_number,drone_number,capacity_of_drones,arc_weight,result,type
0,16,1,180,5,-1,Not Cover
1,16,1,180,10,-1,Not Cover
2,16,1,180,15,-1,Not Cover
3,16,1,180,20,-1,Not Cover
4,16,1,180,25,-1,Not Cover
5,16,1,180,30,-1,Not Cover
6,16,1,240,5,-1,Not Cover
7,16,1,240,10,-1,Not Cover
8,16,1,240,15,-1,Not Cover
9,16,1,240,20,-1,Not Cover
10,16,1,240,25,-1,Not Cover
11,16,1,240,30,-1,Not Cover
12,16,1,300,5,-1,Not Cover
13,16,1,300,10,-1,Not Cover
14,16,1,300,15,-1,Not Cover
15,16,1,300,20,-1,Not Cover
16,16,1,300,25,-1,Not Cover
17,16,1,300,30,-1,Not Cover
18,16,1,360,5,-1,Not Cover
19,16,1,360,10,-1,Not Cover
20,16,1,360,15,-1,Not Cover
21,16,1,360,20,-1,Not Cover
22,16,1,360,25,-1,Not Cover
23,16,1,360,30,-1,Not Cover
24,16,1,420,5,-1,Not Cover
25,16,1,420,10,-1,Not Cover
26,16,1,420,15,-1,Not Cover
27,16,1,420,20,-1,Not Cover
28,16,1,420,25,-1,Not Cover
29,16,1,420,30,-1,Not Cover
30,16,1,480,5,-1,Not Cover
31,16,1,480,10,-1,Not Cover
32,16,1,480,15,-1,Not Cover
33,16,1,480,20,-1,Not Cover
34,16,1,480,25,-1,Not Cover
35,16,1,480,30,-1,Not Cover
36,16,1,540,5,-1,Not Cover
37,16,1,540,10,-1,Not Cover
38,16,1,540,15,-1,Not Cover
39,16,1,540,20,-1,Not Cover
40,16,1,540,25,-1,Not Cover
41,16,1,540,30,-1,Not Cover
42,16,1,600,5,-1,Not Cover
43,16,1,600,10,-1,Not Cover
44,16,1,600,15,-1,Not Cover
45,16,1,600,20,-1,Not Cover
46,16,1,600,25,-1,Not Cover
47,16,1,600,30,-1,Not Cover
48,16,2,180,5,-1,Not Cover
49,16,2,180,10,-1,Not Cover
50,16,2,180,15,-1,Not Cover
51,16,2,180,20,-1,Not Cover
52,16,2,180,25,-1,Not Cover
53,16,2,180,30,-1,Not Cover
54,16,2,240,5,-1,Not Cover
55,16,2,240,10,-1,Not Cover
56,16,2,240,15,-1,Not Cover
57,16,2,240,20,-1,Not Cover
58,16,2,240,25,-1,Not Cover
59,16,2,240,30,-1,Not Cover
60,16,2,300,5,-1,Not Cover
61,16,2,300,10,-1,Not Cover
62,16,2,300,15,-1,Not Cover
63,16,2,300,20,-1,Not Cover
64,16,2,300,25,-1,Not Cover
65,16,2,300,30,-1,Not Cover
66,16,2,360,5,-1,Not Cover
67,16,2,360,10,-1,Not Cover
68,16,2,360,15,-1,Not Cover
69,16,2,360,20,-1,Not Cover
70,16,2,360,25,-1,Not Cover
71,16,2,360,30,-1,Not Cover
72,16,2,420,5,-1,Not Cover
73,16,2,420,10,-1,Not Cover
74,16,2,420,15,-1,Not Cover
75,16,2,420,20,-1,Not Cover
76,16,2,420,25,-1,Not Cover
77,16,2,420,30,-1,Not Cover
78,16,2,480,5,-1,Not Cover
79,16,2,480,10,-1,Not Cover
80,16,2,480,15,-1,Not Cover
81,16,2,480,20,-1,Not Cover
82,16,2,480,25,-1,Not Cover
83,16,2,480,30,-1,Not Cover
84,16,2,540,5,-1,Not Cover
85,16,2,540,10,-1,Not Cover
86,16,2,540,15,-1,Not Cover
87,16,2,540,20,-1,Not Cover
88,16,2,540,25,-1,Not Cover
89,16,2,540,30,-1,Not Cover
90,16,2,600,5,-1,Not Cover
91,16,2,600,10,-1,Not Cover
92,16,2,600,15,-1,Not Cover
93,16,2,600,20,-1,Not Cover
94,16,2,600,25,-1,Not Cover
95,16,2,600,30,-1,Not Cover
96,16,3,180,5,-1,Not Cover
97,16,3,180,10,-1,Not Cover
98,16,3,180,15,-1,Not Cover
99,16,3,180,20,-1,Not Cover
100,16,3,180,25,-1,Not Cover
101,16,3,180,30,-1,Not Cover
102,16,3,240,5,-1,Not Cover
103,16,3,240,10,-1,Not Cover
104,16,3,240,15,-1,Not Cover
105,16,3,240,20,-1,Not Cover
106,16,3,240,25,-1,Not Cover
107,16,3,240,30,-1,Not Cover
108,16,3,300,5,-1,Not Cover
109,16,3,300,10,-1,Not Cover
110,16,3,300,15,-1,Not Cover
111,16,3,300,20,-1,Not Cover
112,16,3,300,25,-1,Not Cover
113,16,3,300,30,-1,Not Cover
114,16,3,360,5,-1,Not Cover
115,16,3,360,10,-1,Not Cover
116,16,3,360,15,-1,Not Cover
117,16,3,360,20,-1,Not Cover
118,16,3,360,25,-1,Not Cover
119,16,3,360,30,-1,Not Cover
120,16,3,420,5,-1,Not Cover
121,16,3,420,10,-1,Not Cover
122,16,3,420,15,-1,Not Cover
123,16,3,420,20,-1,Not Cover
124,16,3,420,25,-1,Not Cover
125,16,3,420,30,-1,Not Cover
126,16,3,480,5,-1,Not Cover
127,16,3,480,10,-1,Not Cover
128,16,3,480,15,-1,Not Cover
129,16,3,480,20,-1,Not Cover
130,16,3,480,25,-1,Not Cover
131,16,3,480,30,-1,Not Cover
132,16,3,540,5,-1,Not Cover
133,16,3,540,10,-1,Not Cover
134,16,3,540,15,-1,Not Cover
135,16,3,540,20,-1,Not Cover
136,16,3,540,25,-1,Not Cover
137,16,3,540,30,-1,Not Cover
138,16,3,600,5,-1,Not Cover
139,16,3,600,10,-1,Not Cover
140,16,3,600,15,-1,Not Cover
141,16,3,600,20,-1,Not Cover
142,16,3,600,25,-1,Not Cover
143,16,3,600,30,-1,Not Cover
144,16,4,180,5,-1,Not Cover
145,16,4,180,10,-1,Not Cover
146,16,4,180,15,-1,Not Cover
147,16,4,180,20,-1,Not Cover
148,16,4,180,25,-1,Not Cover
149,16,4,180,30,-1,Not Cover
150,16,4,240,5,-1,Not Cover
151,16,4,240,10,-1,Not Cover
152,16,4,240,15,-1,Not Cover
153,16,4,240,20,-1,Not Cover
154,16,4,240,25,-1,Not Cover
155,16,4,240,30,-1,Not Cover
156,16,4,300,5,-1,Not Cover
157,16,4,300,10,-1,Not Cover
158,16,4,300,15,-1,Not Cover
159,16,4,300,20,-1,Not Cover
160,16,4,300,25,-1,Not Cover
161,16,4,300,30,-1,Not Cover
162,16,4,360,5,-1,Not Cover
163,16,4,360,10,-1,Not Cover
164,16,4,360,15,-1,Not Cover
165,16,4,360,20,-1,Not Cover
166,16,4,360,25,-1,Not Cover
167,16,4,360,30,-1,Not Cover
168,16,4,420,5,-1,Not Cover
169,16,4,420,10,-1,Not Cover
170,16,4,420,15,-1,Not Cover
171,16,4,420,20,-1,Not Cover
172,16,4,420,25,-1,Not Cover
173,16,4,420,30,-1,Not Cover
174,16,4,480,5,110.0,Optimal
175,16,4,480,10,-1,Not Cover
176,16,4,480,15,-1,Not Cover
177,16,4,480,20,-1,Not Cover
178,16,4,480,25,-1,Not Cover
179,16,4,480,30,-1,Not Cover
180,16,4,540,5,110.0,Optimal
181,16,4,540,10,220.0,Optimal
182,16,4,540,15,-1,Not Cover
183,16,4,540,20,-1,Not Cover
184,16,4,540,25,-1,Not Cover
185,16,4,540,30,-1,Not Cover
186,16,4,600,5,110.0,Optimal
187,16,4,600,10,220.0,Optimal
188,16,4,600,15,-1,Not Cover
189,16,4,600,20,-1,Not Cover
190,16,4,600,25,-1,Not Cover
191,16,4,600,30,-1,Not Cover
192,16,5,180,5,-1,Not Cover
193,16,5,180,10,-1,Not Cover
194,16,5,180,15,-1,Not Cover
195,16,5,180,20,-1,Not Cover
196,16,5,180,25,-1,Not Cover
197,16,5,180,30,-1,Not Cover
198,16,5,240,5,-1,Not Cover
199,16,5,240,10,-1,Not Cover
200,16,5,240,15,-1,Not Cover
201,16,5,240,20,-1,Not Cover
202,16,5,240,25,-1,Not Cover
203,16,5,240,30,-1,Not Cover
204,16,5,300,5,-1,Not Cover
205,16,5,300,10,-1,Not Cover
206,16,5,300,15,-1,Not Cover
207,16,5,300,20,-1,Not Cover
208,16,5,300,25,-1,Not Cover
209,16,5,300,30,-1,Not Cover
210,16,5,360,5,-1,Not Cover
211,16,5,360,10,252.0,Optimal
212,16,5,360,15,-1,Not Cover
213,16,5,360,20,-1,Not Cover
214,16,5,360,25,-1,Not Cover
215,16,5,360,30,-1,Not Cover
216,16,5,420,5,126.0,Optimal
217,16,5,420,10,-1,Not Cover
218,16,5,420,15,-1,Not Cover
219,16,5,420,20,-1,Not Cover
220,16,5,420,25,-1,Not Cover
221,16,5,420,30,-1,Not Cover
222,16,5,480,5,126.0,Optimal
223,16,5,480,10,252.0,Optimal
224,16,5,480,15,-1,Not Cover
225,16,5,480,20,-1,Not Cover
226,16,5,480,25,-1,Not Cover
227,16,5,480,30,-1,Not Cover
228,16,5,540,5,126.0,Optimal
229,16,5,540,10,252.0,Optimal
230,16,5,540,15,380.0,Optimal
231,16,5,540,20,506.0,Optimal
232,16,5,540,25,-1,Not Cover
233,16,5,540,30,-1,Not Cover
234,16,5,600,5,126.0,Optimal
235,16,5,600,10,252.0,Optimal
236,16,5,600,15,380.0,Optimal
237,16,5,600,20,506.0,Optimal
238,16,5,600,25,632.0,Optimal
239,16,5,600,30,758.0,Optimal
240,16,6,180,5,-1,Not Cover
241,16,6,180,10,-1,Not Cover
242,16,6,180,15,-1,Not Cover
243,16,6,180,20,-1,Not Cover
244,16,6,180,25,-1,Not Cover
245,16,6,180,30,-1,Not Cover
246,16,6,240,5,-1,Not Cover
247,16,6,240,10,-1,Not Cover
248,16,6,240,15,-1,Not Cover
249,16,6,240,20,-1,Not Cover
250,16,6,240,25,-1,Not Cover
251,16,6,240,30,-1,Not Cover
252,16,6,300,5,-1,Not Cover
253,16,6,300,10,-1,Not Cover
254,16,6,300,15,-1,Not Cover
255,16,6,300,20,-1,Not Cover
256,16,6,300,25,-1,Not Cover
257,16,6,300,30,-1,Not Cover
258,16,6,360,5,148.0,Optimal
259,16,6,360,10,292.0,Optimal
260,16,6,360,15,-1,Not Cover
261,16,6,360,20,-1,Not Cover
262,16,6,360,25,-1,Not Cover
263,16,6,360,30,-1,Not Cover
264,16,6,420,5,142.0,Optimal
265,16,6,420,10,292.0,Optimal
266,16,6,420,15,429.0,Optimal
267,16,6,420,20,-1,Not Cover
268,16,6,420,25,-1,Not Cover
269,16,6,420,30,-1,Not Cover
270,16,6,480,5,142.0,Optimal
271,16,6,480,10,284.0,Optimal
272,16,6,480,15,429.0,Optimal
273,16,6,480,20,-1,Not Cover
274,16,6,480,25,-1,Not Cover
275,16,6,480,30,-1,Not Cover
276,16,6,540,5,142.0,Optimal
277,16,6,540,10,284.0,Optimal
278,16,6,540,15,429.0,Optimal
279,16,6,540,20,571.0,Optimal
280,16,6,540,25,713.0,Optimal
281,16,6,540,30,-1,Not Cover
282,16,6,600,5,142.0,Optimal
283,16,6,600,10,284.0,Optimal
284,16,6,600,15,429.0,Optimal
285,16,6,600,20,571.0,Optimal
286,16,6,600,25,713.0,Optimal
287,16,6,600,30,855.0,Optimal
288,16,7,180,5,-1,Not Cover
289,16,7,180,10,-1,Not Cover
290,16,7,180,15,-1,Not Cover
291,16,7,180,20,-1,Not Cover
292,16,7,180,25,-1,Not Cover
293,16,7,180,30,-1,Not Cover
294,16,7,240,5,-1,Not Cover
295,16,7,240,10,-1,Not Cover
296,16,7,240,15,-1,Not Cover
297,16,7,240,20,-1,Not Cover
298,16,7,240,25,-1,Not Cover
299,16,7,240,30,-1,Not Cover
300,16,7,300,5,196.0,Optimal
301,16,7,300,10,-1,Not Cover
302,16,7,300,15,-1,Not Cover
303,16,7,300,20,-1,Not Cover
304,16,7,300,25,-1,Not Cover
305,16,7,300,30,-1,Not Cover
306,16,7,360,5,158.0,Optimal
307,16,7,360,10,336.0,Optimal
308,16,7,360,15,-1,Not Cover
309,16,7,360,20,-1,Not Cover
310,16,7,360,25,-1,Not Cover
311,16,7,360,30,-1,Not Cover
312,16,7,420,5,158.0,Optimal
313,16,7,420,10,316.0,Optimal
314,16,7,420,15,478.0,Optimal
315,16,7,420,20,636.0,Optimal
316,16,7,420,25,-1,Not Cover
317,16,7,420,30,-1,Not Cover
318,16,7,480,5,158.0,Optimal
319,16,7,480,10,316.0,Optimal
320,16,7,480,15,478.0,Optimal
321,16,7,480,20,636.0,Optimal
322,16,7,480,25,794.0,Optimal
323,16,7,480,30,-1,Not Cover
324,16,7,540,5,158.0,Optimal
325,16,7,540,10,316.0,Optimal
326,16,7,540,15,478.0,Optimal
327,16,7,540,20,636.0,Optimal
328,16,7,540,25,794.0,Optimal
329,16,7,540,30,952.0,Optimal
330,16,7,600,5,158.0,Optimal
331,16,7,600,10,316.0,Optimal
332,16,7,600,15,478.0,Optimal
333,16,7,600,20,636.0,Optimal
334,16,7,600,25,794.0,Optimal
335,16,7,600,30,952.0,Optimal
336,16,8,180,5,-1,Not Cover
337,16,8,180,10,-1,Not Cover
338,16,8,180,15,-1,Not Cover
339,16,8,180,20,-1,Not Cover
340,16,8,180,25,-1,Not Cover
341,16,8,180,30,-1,Not Cover
342,16,8,240,5,234.0,Optimal
343,16,8,240,10,-1,Not Cover
344,16,8,240,15,-1,Not Cover
345,16,8,240,20,-1,Not Cover
346,16,8,240,25,-1,Not Cover
347,16,8,240,30,-1,Not Cover
348,16,8,300,5,184.0,Optimal
349,16,8,300,10,468.0,Optimal
350,16,8,300,15,-1,Not Cover
351,16,8,300,20,-1,Not Cover
352,16,8,300,25,-1,Not Cover
353,16,8,300,30,-1,Not Cover
354,16,8,360,5,184.0,Optimal
355,16,8,360,10,372.0,Optimal
356,16,8,360,15,-1,Not Cover
357,16,8,360,20,-1,Not Cover
358,16,8,360,25,-1,Not Cover
359,16,8,360,30,-1,Not Cover
360,16,8,420,5,184.0,Optimal
361,16,8,420,10,368.0,Optimal
362,16,8,420,15,555.0,Optimal
363,16,8,420,20,739.0,Optimal
364,16,8,420,25,-1,Not Cover
365,16,8,420,30,-1,Not Cover
366,16,8,480,5,183.0,Optimal
367,16,8,480,10,366.0,Optimal
368,16,8,480,15,555.0,Optimal
369,16,8,480,20,738.0,Optimal
370,16,8,480,25,923.0,Optimal
371,16,8,480,30,-1,Not Cover
372,16,8,540,5,182.0,Optimal
373,16,8,540,10,364.0,Optimal
374,16,8,540,15,555.0,Optimal
375,16,8,540,20,739.0,Optimal
376,16,8,540,25,923.0,Optimal
377,16,8,540,30,1097.0,Optimal
378,16,8,600,5,182.0,Optimal
379,16,8,600,10,366.0,Optimal
380,16,8,600,15,550.0,Optimal
381,16,8,600,20,733.0,Optimal
382,16,8,600,25,921.0,Optimal
383,16,8,600,30,1104.0,Optimal
384,16,9,180,5,-1,Not Cover
385,16,9,180,10,-1,Not Cover
386,16,9,180,15,-1,Not Cover
387,16,9,180,20,-1,Not Cover
388,16,9,180,25,-1,Not Cover
389,16,9,180,30,-1,Not Cover
390,16,9,240,5,267.0,Optimal
391,16,9,240,10,-1,Not Cover
392,16,9,240,15,-1,Not Cover
393,16,9,240,20,-1,Not Cover
394,16,9,240,25,-1,Not Cover
395,16,9,240,30,-1,Not Cover
396,16,9,300,5,225.0,Optimal
397,16,9,300,10,452.0,Optimal
398,16,9,300,15,-1,Not Cover
399,16,9,300,20,-1,Not Cover
400,16,9,300,25,-1,Not Cover
401,16,9,300,30,-1,Not Cover
402,16,9,360,5,211.0,Optimal
403,16,9,360,10,422.0,Optimal
404,16,9,360,15,664.0,Optimal
405,16,9,360,20,-1,Not Cover
406,16,9,360,25,-1,Not Cover
407,16,9,360,30,-1,Not Cover
408,16,9,420,5,206.0,Optimal
409,16,9,420,10,412.0,Optimal
410,16,9,420,15,632.0,Optimal
411,16,9,420,20,830.0,Optimal
412,16,9,420,25,1094.0,Optimal
413,16,9,420,30,-1,Not Cover
414,16,9,480,5,206.0,Optimal
415,16,9,480,10,412.0,Optimal
416,16,9,480,15,622.0,Optimal
417,16,9,480,20,830.0,Optimal
418,16,9,480,25,1036.0,Optimal
419,16,9,480,30,1242.0,Optimal
420,16,9,540,5,206.0,Optimal
421,16,9,540,10,412.0,Optimal
422,16,9,540,15,622.0,Optimal
423,16,9,540,20,830.0,Optimal
424,16,9,540,25,1036.0,Optimal
425,16,9,540,30,1242.0,Optimal
426,16,9,600,5,206.0,Optimal
427,16,9,600,10,412.0,Optimal
428,16,9,600,15,622.0,Optimal
429,16,9,600,20,830.0,Optimal
430,16,9,600,25,1036.0,Optimal
431,16,9,600,30,1242.0,Optimal
432,16,10,180,5,-1,Not Cover
433,16,10,180,10,-1,Not Cover
434,16,10,180,15,-1,Not Cover
435,16,10,180,20,-1,Not Cover
436,16,10,180,25,-1,Not Cover
437,16,10,180,30,-1,Not Cover
438,16,10,240,5,-1,Not Solved
439,16,10,240,10,-1,Not Cover
440,16,10,240,15,-1,Not Cover
441,16,10,240,20,-1,Not Cover
442,16,10,240,25,-1,Not Cover
443,16,10,240,30,-1,Not Cover
444,16,10,300,5,246.0,Optimal
445,16,10,300,10,518.0,Optimal
446,16,10,300,15,-1,Not Cover
447,16,10,300,20,-1,Not Cover
448,16,10,300,25,-1,Not Cover
449,16,10,300,30,-1,Not Cover
450,16,10,360,5,244.0,Optimal
451,16,10,360,10,480.0,Optimal
452,16,10,360,15,699.0,Optimal
453,16,10,360,20,-1,Not Cover
454,16,10,360,25,-1,Not Cover
455,16,10,360,30,-1,Not Cover
456,16,10,420,5,232.0,Optimal
457,16,10,420,10,464.0,Optimal
458,16,10,420,15,699.0,Optimal
459,16,10,420,20,933.0,Optimal
460,16,10,420,25,1165.0,Optimal
461,16,10,420,30,-1,Not Cover
462,16,10,480,5,232.0,Optimal
463,16,10,480,10,464.0,Optimal
